"일자","요일","성별","연령","발신지_시도","발신지_구","발신지_동","통화건수"
"20181015","월","여","50대","서울특별시","강남구","청담동","5"
"20181015","월","남","20대","서울특별시","강남구","청담동","5"
"20181015","월","남","20대","서울특별시","강남구","역삼동","5"
"20181015","월","여","30대","서울특별시","강남구","개포동","5"
"20181015","월","남","10대","서울특별시","강남구","삼성동","5"
"20181015","월","여","40대","서울특별시","강남구","개포동","5"
"20181015","월","여","20대","서울특별시","강남구","도곡동","5"
"20181015","월","여","30대","서울특별시","강남구","역삼동","5"
"20181015","월","여","60대이상","서울특별시","강동구","천호동","5"
"20181015","월","남","10대","서울특별시","강동구","상일동","5"
"20181015","월","남","10대","서울특별시","강동구","성내동","5"
"20181015","월","여","10대","서울특별시","강동구","상일동","5"
"20181015","월","여","10대","서울특별시","강동구","명일동","5"
"20181015","월","남","50대","서울특별시","강동구","천호동","5"
"20181015","월","남","50대","서울특별시","강동구","성내동","5"
"20181015","월","남","50대","서울특별시","강동구","상일동","5"
"20181015","월","여","40대","서울특별시","강동구","천호동","5"
"20181015","월","여","40대","서울특별시","강동구","성내동","13"
"20181015","월","여","40대","서울특별시","강동구","상일동","8"
"20181015","월","남","60대이상","서울특별시","강동구","성내동","6"
"20181015","월","남","20대","서울특별시","강동구","상일동","9"
"20181015","월","남","20대","서울특별시","강동구","성내동","9"
"20181015","월","남","20대","서울특별시","강동구","천호동","5"
"20181015","월","여","10대","서울특별시","강동구","성내동","5"
"20181015","월","여","60대이상","서울특별시","강동구","성내동","5"
"20181015","월","여","20대","서울특별시","강동구","상일동","5"
"20181015","월","남","40대","서울특별시","강동구","성내동","7"
"20181015","월","남","40대","서울특별시","강동구","상일동","5"
"20181015","월","여","50대","서울특별시","강동구","천호동","5"
"20181015","월","여","50대","서울특별시","강동구","성내동","10"
"20181015","월","여","20대","서울특별시","강동구","천호동","5"
"20181015","월","남","30대","서울특별시","강동구","상일동","5"
"20181015","월","여","30대","서울특별시","강동구","성내동","12"
"20181015","월","남","30대","서울특별시","강동구","천호동","5"
"20181015","월","여","20대","서울특별시","강동구","암사동","5"
"20181015","월","남","30대","서울특별시","강동구","성내동","11"
"20181015","월","여","20대","서울특별시","강동구","성내동","5"
"20181015","월","여","30대","서울특별시","강동구","상일동","5"
"20181015","월","여","50대","서울특별시","강동구","상일동","7"
"20181015","월","여","50대","서울특별시","강북구","번동","5"
"20181015","월","여","50대","서울특별시","강북구","미아동","13"
"20181015","월","여","30대","서울특별시","강북구","미아동","22"
"20181015","월","남","60대이상","서울특별시","강북구","번동","5"
"20181015","월","남","10대","서울특별시","강북구","미아동","8"
"20181015","월","남","30대","서울특별시","강북구","번동","6"
"20181015","월","남","60대이상","서울특별시","강북구","미아동","6"
"20181015","월","여","40대","서울특별시","강북구","미아동","23"
"20181015","월","남","50대","서울특별시","강북구","미아동","10"
"20181015","월","여","10대","서울특별시","강북구","번동","5"
"20181015","월","남","50대","서울특별시","강북구","번동","5"
"20181015","월","남","30대","서울특별시","강북구","미아동","17"
"20181015","월","여","20대","서울특별시","강북구","번동","5"
"20181015","월","남","40대","서울특별시","강북구","미아동","15"
"20181015","월","여","40대","서울특별시","강북구","번동","13"
"20181015","월","남","10대","서울특별시","강북구","번동","5"
"20181015","월","남","40대","서울특별시","강북구","번동","9"
"20181015","월","여","60대이상","서울특별시","강북구","미아동","9"
"20181015","월","여","10대","서울특별시","강북구","미아동","6"
"20181015","월","남","20대","서울특별시","강북구","수유동","5"
"20181015","월","여","20대","서울특별시","강북구","미아동","11"
"20181015","월","여","30대","서울특별시","강북구","번동","5"
"20181015","월","남","20대","서울특별시","강북구","번동","5"
"20181015","월","남","20대","서울특별시","강북구","미아동","24"
"20181015","월","여","10대","서울특별시","강서구","화곡동","5"
"20181015","월","여","30대","서울특별시","강서구","화곡동","6"
"20181015","월","여","60대이상","서울특별시","강서구","가양동","5"
"20181015","월","여","60대이상","서울특별시","강서구","내발산동","5"
"20181015","월","남","10대","서울특별시","강서구","가양동","5"
"20181015","월","남","10대","서울특별시","강서구","내발산동","5"
"20181015","월","남","10대","서울특별시","강서구","화곡동","5"
"20181015","월","남","20대","서울특별시","강서구","가양동","8"
"20181015","월","남","20대","서울특별시","강서구","내발산동","11"
"20181015","월","남","20대","서울특별시","강서구","등촌동","5"
"20181015","월","남","20대","서울특별시","강서구","화곡동","8"
"20181015","월","여","30대","서울특별시","강서구","등촌동","5"
"20181015","월","여","30대","서울특별시","강서구","내발산동","5"
"20181015","월","여","30대","서울특별시","강서구","가양동","6"
"20181015","월","남","30대","서울특별시","강서구","가양동","5"
"20181015","월","남","30대","서울특별시","강서구","내발산동","7"
"20181015","월","남","30대","서울특별시","강서구","등촌동","5"
"20181015","월","남","30대","서울특별시","강서구","화곡동","5"
"20181015","월","여","50대","서울특별시","강서구","화곡동","5"
"20181015","월","여","50대","서울특별시","강서구","등촌동","5"
"20181015","월","여","50대","서울특별시","강서구","내발산동","5"
"20181015","월","여","50대","서울특별시","강서구","가양동","7"
"20181015","월","남","40대","서울특별시","강서구","내발산동","8"
"20181015","월","남","40대","서울특별시","강서구","등촌동","5"
"20181015","월","남","40대","서울특별시","강서구","화곡동","8"
"20181015","월","여","20대","서울특별시","강서구","화곡동","8"
"20181015","월","여","20대","서울특별시","강서구","등촌동","5"
"20181015","월","여","20대","서울특별시","강서구","내발산동","7"
"20181015","월","남","50대","서울특별시","강서구","가양동","5"
"20181015","월","남","50대","서울특별시","강서구","내발산동","5"
"20181015","월","남","50대","서울특별시","강서구","화곡동","5"
"20181015","월","여","20대","서울특별시","강서구","가양동","5"
"20181015","월","여","40대","서울특별시","강서구","화곡동","10"
"20181015","월","여","40대","서울특별시","강서구","내발산동","11"
"20181015","월","여","40대","서울특별시","강서구","공항동","5"
"20181015","월","여","40대","서울특별시","강서구","가양동","13"
"20181015","월","남","60대이상","서울특별시","강서구","가양동","5"
"20181015","월","남","60대이상","서울특별시","강서구","내발산동","5"
"20181015","월","남","60대이상","서울특별시","강서구","화곡동","5"
"20181015","월","여","10대","서울특별시","강서구","가양동","5"
"20181015","월","여","10대","서울특별시","강서구","내발산동","5"
"20181015","월","여","10대","서울특별시","강서구","등촌동","5"
"20181015","월","여","40대","서울특별시","관악구","봉천동","5"
